wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q105962944,Erwin Jay Saunders,Erwin Jay Saunders,male,,,https://www.gov.tc/premier/cabinet,2021-11-28,Q108803500,Deputy Premier,2021-02-20,Q105962944-308ED3ED-2E75-41F3-9584-982B27D633A5
Q105962944,Erwin Jay Saunders,Erwin Jay Saunders,male,,,https://www.gov.tc/premier/cabinet,2021-11-28,Q108803505,"Minister of Finance, Investment & Trade",2021-08-06,Q105962944-B4290252-E706-436D-832C-7CC30847D6E0
Q109776506,Rachel Marshall Taylor,Rachel Marshall Taylor,female,,,https://www.gov.tc/premier/cabinet,2021-11-28,Q109776508,"Minister of Education, Labour, Employment and Customer Service",2021-02-24,Q109776506-F924E830-EF14-4FA4-A8D9-21FDD0A9D9D8
Q109776513,Otis Chuck Morris,Otis Chuck Morris,male,,,https://www.gov.tc/premier/cabinet,2021-11-28,Q109776514,"Minister of Home Affairs, Public Utilities and Transportation",2021-02-24,Q109776513-ECF8C576-8FD6-4A6D-ADE0-3BE7302AA79D
Q109776532,Jamell Rayan Robinson,Jamell Rayan Robinson,male,,,https://www.gov.tc/premier/cabinet,2021-11-28,Q108803511,"Minister of Health, Agriculture, Sports & Human Services",2021-08-06,Q109776532-6AFC481E-B340-43C3-B0DB-A2F8F671A09A
Q109776615,Arlington Alexander Musgrove,Arlington Alexander Musgrove,male,,,https://www.gov.tc/premier/cabinet,2021-11-28,Q109776617,Minister of Immigration & Border Services,2021-02-24,Q109776615-9AAFC3F3-2D98-45B4-9C05-656DB75711D7
Q19664905,Josephine Olivia Conolly,Josephine Connolly,female,1959-01-01,9,https://www.gov.tc/premier/cabinet,2021-11-28,Q109776524,"Minister of Tourism, Agriculture, Fisheries, Heritage & the Environment",2021-02-24,Q19664905-1CCEF80A-DBA4-4102-B460-C9479DAA72B7
Q23762586,Anya Williams,Anya Williams,female,1980-01-01,9,https://www.gov.tc/premier/cabinet,2021-11-28,Q16829402,Deputy Governor of the Turks & Caicos Islands,2012-10-15,Q23762586-4E925733-FA81-4187-B533-0DD50244917E
Q42537719,Rhondalee Braithwaite-Knowles,Rhondalee Braithwaite-Knowles,female,,,https://www.gov.tc/premier/cabinet,2021-11-28,Q4818616,Attorney General,2014-01-01,Q42537719-31CC98A7-F9CD-4094-B7ED-6A9869489694
Q4700892,Akierra Mary Deanne Missick,Akierra Missick,female,1983-01-01,9,https://www.gov.tc/premier/cabinet,2021-11-28,Q109776628,Minister of Physical Planning & Infrastructure Development,2021-02-24,Q4700892-4E261CDB-42FD-497F-AB8C-90F90D686C8A
Q4700892,Akierra Mary Deanne Missick,Akierra Missick,female,1983-01-01,9,https://www.gov.tc/premier/cabinet,2021-11-28,Q109776630,Leader of Government Business,2021-02-24,Q4700892-5BD6A0A6-4B8B-4B16-9774-8BAE08A7898B
Q7972058,Charles Washington Misick,Washington Misick,male,1950-03-13,11,https://www.gov.tc/premier/cabinet,2021-11-28,Q3401756,Premier of the Turks & Caicos Islands,2021-02-20,Q7972058-29bced3c-40d8-94fa-dd95-87c4f6e57a93
Q89296347,Nigel John Dakin,Nigel Dakin,male,1964-02-28,11,https://www.gov.tc/premier/cabinet,2021-11-28,Q3112726,Governor of the Turks & Caicos Islands,2019-07-15,Q89296347-AD2E5A75-10E3-485D-9F21-92B7DD65548A
