item,itemLabel,position,positionLabel,start,psid
Q105962944,Erwin Jay Saunders,Q108803500,Deputy Premier of the Turks and Caicos Islands,2021-02-20,Q105962944-308ED3ED-2E75-41F3-9584-982B27D633A5
Q105962944,Erwin Jay Saunders,Q108803505,"Minister of Finance, Investment & Trade",2021-08-06,Q105962944-B4290252-E706-436D-832C-7CC30847D6E0
Q109776506,Rachel Marshall Taylor,Q109776508,"Minister of Education, Labour, Employment and Customer Service",2021-02-24,Q109776506-F924E830-EF14-4FA4-A8D9-21FDD0A9D9D8
Q109776513,Otis Chuck Morris,Q109776514,"Minister of Home Affairs, Public Utilities and Transportation",2021-02-24,Q109776513-ECF8C576-8FD6-4A6D-ADE0-3BE7302AA79D
Q109776532,Jamell Rayan Robinson,Q108803511,"Minister of Health, Agriculture, Sports and Human Services",2021-08-06,Q109776532-6AFC481E-B340-43C3-B0DB-A2F8F671A09A
Q109776615,Arlington Alexander Musgrove,Q109776617,Minister of Immigration and Border Services,2021-02-24,Q109776615-9AAFC3F3-2D98-45B4-9C05-656DB75711D7
Q19664905,Josephine Connolly,Q109776524,"Minister of Tourism, Agriculture, Fisheries, Heritage and the Environment",2021-02-24,Q19664905-1CCEF80A-DBA4-4102-B460-C9479DAA72B7
Q23762586,Anya Williams,Q16829402,Deputy Governor of the Turks and Caicos Islands,2012-10-15,Q23762586-4E925733-FA81-4187-B533-0DD50244917E
Q42537719,Rhondalee Braithwaite-Knowles,Q4818616,Attorney-General of the Turks and Caicos Islands,2014-01-01,Q42537719-31CC98A7-F9CD-4094-B7ED-6A9869489694
Q4700892,Akierra Missick,Q109776628,Minister of Physical Planning and Infrastructure Development,2021-02-24,Q4700892-4E261CDB-42FD-497F-AB8C-90F90D686C8A
Q4700892,Akierra Missick,Q109776630,Leader of Government Business,2021-02-24,Q4700892-5BD6A0A6-4B8B-4B16-9774-8BAE08A7898B
Q7972058,Washington Misick,Q3401756,Premier of the Turks and Caicos Islands,2021-02-20,Q7972058-29bced3c-40d8-94fa-dd95-87c4f6e57a93
Q89296347,Nigel Dakin,Q3112726,Governor of the Turks and Caicos Islands,2019-07-15,Q89296347-AD2E5A75-10E3-485D-9F21-92B7DD65548A
