position,title
Q3112726,Governor
Q16829402,Deputy Governor
Q3401756,Premier
Q108803500,Deputy Premier
Q109776508,"Minister of Education, Labour, Employment and Customer Service"
Q108803505,"Minister of Finance, Investment and Trade"
Q108803511,"Minister of Health, Agriculture, Sports and Human Services"
Q109776514,"Minister of Home Affairs, Public Utilities and Transportation"
Q109776617,Minister of Immigration and Border Services
Q109776628,Minister of Physical Planning and Infrastructure Development
Q109776524,"Minister of Tourism, Agriculture, Fisheries, Heritage and the Environment"
Q109776630,Leader of Government Business
Q4818616,Attorney-General
Q6597984,Speaker of the House of Assembly
